program_number,agency_number,community_area,program_type,name,address,city,zip,service_areas
KC00307,A70009,Uptown,SFSP,Community Counseling Centers,4740 N. Clark Street,Chicago,60640,Closed Site
KC00317,A70009,North Center,SFSP,Neighborhood Boys & Girls Club,2501 W. Irving Park Road,Chicago,60618,Closed Site
KC00421,A70009,Humboldt Park,SFSP,ULBGC-Miguel Barreto,1214 N Washtenaw Ave,Chicago,60622,Closed Program
SK00040,A00012,Uptown,SOUP KITCH,Our Lady of Lourdes SK,4641 N Ashland Ave,Chicago,60640,Cook County
SK00062,A00173,West Town,SOUP KITCH,St. Stanislaus Kostka SK,1351 W Evergreen Ave,Chicago,60642,Cook County
SK00069,A00247,West Town,SOUP KITCH,Franciscan Outreach (Marquard),1645 W Le Moyne St,Chicago,60622,Cook County
SK00098,A00462,Uptown,SOUP KITCH,Ravenswood Community Svcs SK,1757 W Wilson Ave,Chicago,60640,Cook County
SK00101,A00990,Lake View,SOUP KITCH,Center on Halsted,3656 N Halsted St,Chicago,60613,Closed Program
SK00121,A00020,Uptown,SOUP KITCH,American Indian Center,1630 W Wilson Ave,Chicago,60640,Closed Program
SK00122,A01112,Lincoln Park,SOUP KITCH,Thresholds - Dincin Center,2700 N Lakeview Ave,Chicago,60614,Closed Program
SK00132,A01459,Lincoln Park,SOUP KITCH,St. Teresa of Avila Parish,1950 N Kenmore Ave,Chicago,60614,Cook County
SP00011,A00063,West Town,SCHOOL,Esperanza Community Services,520 N Marshfield Ave,Chicago,60622,Closed Program
KC00223,A70009,Palatine,CACFP,Buehler YMCA at Falcon Park,2195 N Hicks Rd,Palatine,60074,Closed Program
KC00003,A00294,Near North Side,SFSP,Chicago Lights Summer Day,126 E Chestnut St,Chicago,60611,Closed
KC00030,A01128,Austin,CACFP,Westside Health Authority,5437 W Division St,Chicago,60651,Closed Program
KC00032,A00235,East Garfield Park,CACFP,Breakthrough Urban Ministries,3330 W Carroll Ave,Chicago,60624,Closed Program
KC00034,A00007,Kenwood,SFSP,Kenwood Oakland  Comm - KC,4434 S Lake Park Ave,Chicago,60653,
KC00036,A70009,Grand Boulevard,CACFP,CYC: Elliott Donnelley Center,,,,Closed Program
KC000470,A70009,Austin,SFSP,Friendship Baptist Church,,,,Open
KC00052,A70009,North Lawndale,CACFP,CYC ABC Polk Brothers,3415 W 13th Pl,Chicago,60623,Closed Program
KC00072,A00080,East Garfield Park,CACFP,Marillac House,2859 W. Jackson,Chicago,60612,Closed Program
KC00075,A00812,North Lawndale,CACFP,St. Agatha Family Empowerment,3151 W Douglas Blvd,Chicago,60623,Closed Program
KC00077,A70009,Humboldt Park,CACFP,Kelly Hall YMCA Kids Cafe,824 N Hamlin Ave,Chicago,60651,Closed Program
KC00094,A70009,Washington Park,CACFP,KLEO Community Family Life,119 E Garfield Blvd,Chicago,60637,Closed Program
KC00113,A70009,Austin,CACFP,Mercy Housing Lakefront,4943 W Quincy St,Chicago,60644,Closed Program  / SFSP 2015 OPEN SITE
KC00122,A70009,Austin,CACFP,Amundsen Park  (CPD),6200 W Bloomingdale Ave,Chicago,60639,Closed Program
KC00129,A70009,Austin,CACFP,Columbus Park (CPD),500 S Central Ave,Chicago,60644,Closed Program
KC00143,A70009,North Lawndale,CACFP,Better Boys Foundation,1512 S Pulaski Rd,Chicago,60623,Closed Program
KC00190,A70009,North Lawndale,CACFP,Chicago West Side Christian Sc,1240 S Pulaski Rd,Chicago,60623,Closed Program
KC00230,A70009,North Lawndale,SFSP,Family Focus- Lawndale,3517 W Arthington,Chicago,60624,
KC00243,A70009,West Englewood,SFSP,Golden Sugar,5527 S Ashland Ave,Chicago,60636,Open Site
KC00255,A70009,Near West Side,SFSP,UIC School - Theatre Camp,"1040 W. Harrison Street, MC255",Chicago,60607,Closed site
KC00259,A70009,East Garfield Park,SFSP,The Salvation Army Midwest,,,,
KC00266,A70009,Austin,SFSP,"Connections to the Future, Inc",5453 West Augusta,Chicago,60651,Open site
KC00272,A70009,South Lawndale,SFSP,Chicago Housing Authority -,,,,
KC00273,A70009,Oakland,SFSP,Chicago Housing Authority -,3983 S. Lake Park Place,Chicago,60653,Open
KC00277,A70009,Fuller Park,SFSP,Chicago Housing Authority -,359 West 42nd Street,Chicago,60609,Open site
KC00280,A70009,Near West Side,SFSP,Chicago Housing Authority -,1815 W Monroe St (Social Room),Chicago,60612,Open
KC00302,A70009,Austin,SFSP,Westside Health Authority,,,,
KC00305,A70009,Kenwood,SFSP,Cambridge Camp,1014 E. 47th Street,Chicago,60653,Closed Site
KC00309,A70009,Humboldt Park,SFSP,The Children's Place Assoc,3059 W. Augusta Blvd,Chicago,60622,Closed Program
KC00312,A70009,West Garfield Park,SFSP,Garfield Park Comm Worship Ctr,4100 W. Jackson,Chicago,60624,Open Site
KC00314,A70009,Grand Boulevard,SFSP,St. Paul Church Summer Camp,4526 S. Wabash Ave,Chicago,60605,Open Site
KC00316,A70009,Near West Side,SFSP,Jackson Blvd Christian Church,2413 W. Jackson Blvd,Chicago,60612,Open Site
KC00319,A70009,North Lawndale,SFSP,Westlawn Gospel Chapel,2115 S. Saint Louis Ave,Chicago,60623,
KC00324,A70009,North Lawndale,SFSP,House Development Corporation,2111 S. Hamlin Street,Chicago,60623,Closed Site
KC00341,A70009,Near North Side,SFSP,CHA-Dawson Technical Institute,3901 S. State St.,Chicago,60609,Closed Program
KC00346,A70009,West Garfield Park,SFSP,CHA-Westside Learning Center,4624 W. Madison St.,Chicago,60644,Closed Program
KC00348,A70009,Grand Boulevard,SFSP,CHA- Washington Park Prarie,4021 S. Prairie #101,Chicago,60653,Open Program
KC00355,A70009,Armour Square,SFSP,CHA - Dearborn Federal,2931 S. Federal #105,Chicago,60616,Open Program
KC00356,A70009,Douglas,SFSP,CHA- Dearborn 2701,2701 S. Dearborn #105,Chicago,60616,Open Program
KC00357,A70009,Near North Side,SFSP,CHA- Cabrini,523 W. Locust,Chicago,60610,Open Program
KC00359,A70009,North Lawndale,SFSP,CHA - SSW Homan,1402 S. Homan,Chicago,60623,Open Program
KC00360,A70009,Armour Square,SFSP,CHA- Wentworth Gardens Wells,3737 S. Wells Street,Chicago,60609,Open Program
KC00361,A70009,Armour Square,SFSP,CHA - Wentworth Gardens 38th,248 W. 38th Place #268,Chicago,60609,Open Program
KC00362,A70009,Oakland,SFSP,CHA- Lake Parc Place,3939 S. Lake Park Place,Chicago,60653,Open Program
KC00382,A70009,Near West Side,SFSP,Archi-Treasures,1350 S. Morgan Street,Chicago,60608,Open Program
KC00386,A70009,Loop,SFSP,After School MattersGallery 37,66 E. Randolph St,Chicago,60601,Closed Program
KC00387,A70009,Loop,SFSP,ASM Millennium Park,South Chase Promenade,Chicago,60601,Closed Program
KC00393,A70009,Austin,SFSP,Because I Care,5811 W. Chicago Ave,Chicago,60651,Closed
KC00395,A70009,North Lawndale,CACFP,Family Focus Lawndale,3517 W. Arthington,Chicago,60624,Open Program
KC00397,A00257,Austin,SFSP,Build Inc.,5100 W. Harrison St,Chicago,60644,
KC00417,A70009,South Holland,SFSP,PRC Learning Center,,,,
